threshold,precision,recall,f1,auc,accuracy
0.0,0.36,1.0,0.53,0.71,0.36
0.05,0.38,0.93,0.54,0.71,0.42
0.1,0.43,0.92,0.59,0.71,0.54
0.15,0.44,0.88,0.59,0.71,0.56
0.2,0.47,0.86,0.61,0.71,0.6
0.25,0.48,0.81,0.6,0.71,0.62
0.3,0.48,0.72,0.57,0.71,0.62
0.35,0.48,0.67,0.56,0.71,0.62
0.4,0.52,0.64,0.57,0.71,0.66
0.45,0.52,0.62,0.57,0.71,0.66
0.5,0.52,0.57,0.54,0.71,0.66
0.55,0.54,0.51,0.53,0.71,0.67
0.6,0.54,0.47,0.5,0.71,0.66
0.65,0.59,0.47,0.52,0.71,0.69
0.7,0.63,0.44,0.52,0.71,0.7
0.75,0.7,0.42,0.52,0.71,0.72
0.8,0.69,0.33,0.45,0.71,0.7
0.85,0.67,0.22,0.33,0.71,0.68
0.9,0.61,0.15,0.24,0.71,0.66
0.95,0.43,0.04,0.08,0.71,0.64
1.0,0.0,0.0,0.0,0.71,0.64
