threshold,precision,recall,f1,auc,accuracy
0.0,0.36,1.0,0.53,0.75,0.36
0.05,0.37,1.0,0.54,0.75,0.39
0.1,0.4,0.96,0.57,0.75,0.47
0.15,0.45,0.89,0.6,0.75,0.57
0.2,0.5,0.83,0.63,0.75,0.64
0.25,0.53,0.75,0.62,0.75,0.68
0.3,0.55,0.62,0.58,0.75,0.68
0.35,0.6,0.47,0.53,0.75,0.7
0.4,0.63,0.38,0.47,0.75,0.7
0.45,0.76,0.36,0.49,0.75,0.73
0.5,0.83,0.26,0.4,0.75,0.72
0.55,0.84,0.22,0.35,0.75,0.7
0.6,0.9,0.12,0.22,0.75,0.68
0.65,0.86,0.08,0.15,0.75,0.66
0.7,1.0,0.03,0.05,0.75,0.65
0.75,0.0,0.0,0.0,0.75,0.64
0.8,0.0,0.0,0.0,0.75,0.64
0.85,0.0,0.0,0.0,0.75,0.64
0.9,0.0,0.0,0.0,0.75,0.64
0.95,0.0,0.0,0.0,0.75,0.64
1.0,0.0,0.0,0.0,0.75,0.64
