threshold,precision,recall,f1,auc,accuracy
0.0,0.36,1.0,0.53,0.6,0.36
0.05,0.4,0.82,0.54,0.6,0.5
0.1,0.42,0.81,0.55,0.6,0.52
0.15,0.44,0.75,0.56,0.6,0.57
0.2,0.45,0.69,0.54,0.6,0.58
0.25,0.44,0.67,0.53,0.6,0.57
0.3,0.44,0.62,0.52,0.6,0.58
0.35,0.45,0.57,0.5,0.6,0.59
0.4,0.45,0.54,0.49,0.6,0.6
0.45,0.44,0.47,0.46,0.6,0.6
0.5,0.44,0.44,0.44,0.6,0.6
0.55,0.44,0.43,0.44,0.6,0.6
0.6,0.41,0.33,0.37,0.6,0.59
0.65,0.43,0.32,0.37,0.6,0.6
0.7,0.46,0.25,0.32,0.6,0.62
0.75,0.44,0.21,0.28,0.6,0.62
0.8,0.42,0.18,0.25,0.6,0.62
0.85,0.4,0.17,0.24,0.6,0.61
0.9,0.43,0.14,0.21,0.6,0.62
0.95,0.4,0.11,0.17,0.6,0.62
1.0,0.37,0.1,0.15,0.6,0.62
